Organisation,Service Area,Expenditure Unit,Expenditure Code,Paid Date,Trans No,Amount,caporrev,Supplier ID,Supplier Name
Oxford City Council,Policy  Culture and Communication,Pitch & Site Rents,K9534,13/01/2015,46284405_1,500.00,Revenue,20014120,BLACKBIRD ACADEMY TRUST
Oxford City Council,Finance,Counsel & External Legal Fees,D3417,31/03/2015,1014497_1,1200.00,Revenue,20014164,Redacted personal data
Oxford City Council,Leisure  Parks & Communities,Special Events,D3807,24/03/2015,1014228_1,2336.50,Revenue,20014286,ELMER COTTON SPORTS
Oxford City Council,City Development,Consultants Fees,D3411,10/03/2015,1013858_1,1635.00,Revenue,20014353,URS INFRASTRUCTURE & ENVIRONMENT UK LTD
Oxford City Council,Direct Services,Materials,D3021,31/03/2015,60035604_1,1134.00,Revenue,20014392,DIRECT PUMPS & TANKS LTD
Oxford City Council,Direct Services,Waste Disposal & Skip Hire,D3420,06/01/2015,1011700_1,902.10,Revenue,20014410,RAYMOND BROWN WASTE MANAGMENT SOLUTIONS
Oxford City Council,Direct Services,Waste Disposal & Skip Hire,D3420,20/01/2015,1012142_1,590.00,Revenue,20014410,RAYMOND BROWN WASTE MANAGMENT SOLUTIONS
Oxford City Council,Direct Services,Waste Disposal & Skip Hire,D3420,27/01/2015,1012331_1,1027.50,Revenue,20014410,RAYMOND BROWN WASTE MANAGMENT SOLUTIONS
Oxford City Council,Direct Services,Waste Disposal & Skip Hire,D3420,31/03/2015,1014492_1,295.00,Revenue,20014410,RAYMOND BROWN WASTE MANAGMENT SOLUTIONS
Oxford City Council,Direct Services,Waste Disposal & Skip Hire,D3420,31/03/2015,1014492_2,295.00,Revenue,20014410,RAYMOND BROWN WASTE MANAGMENT SOLUTIONS
Oxford City Council,Direct Services,Waste Disposal & Skip Hire,D3420,31/03/2015,1014492_3,295.00,Revenue,20014410,RAYMOND BROWN WASTE MANAGMENT SOLUTIONS
Oxford City Council,Environmental Development,Grants-Private Persons,Y005,24/02/2015,1013125_1,4345.00,Capital,20014420,C M RAYSON BUILDERS
Oxford City Council,Environmental Development,Grants-Private Persons,Y005,03/03/2015,1013332_1,650.00,Capital,20014420,C M RAYSON BUILDERS
Oxford City Council,Environmental Development,Grants-Private Persons,Y005,10/03/2015,1013869_1,950.00,Capital,20014420,C M RAYSON BUILDERS
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_1,213.27,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_10,25.69,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_11,119.43,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_12,81.04,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_13,481.98,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_14,200.47,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_15,25.59,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_16,733.64,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_17,452.13,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_18,366.82,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_19,524.55,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_2,59.72,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_3,21.32,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_4,34.12,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_5,42.65,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_6,136.49,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_7,341.23,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_8,362.55,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,20/01/2015,46284417_9,42.65,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_1,16.14,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_10,397.27,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_11,4.03,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_12,137.16,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_13,64.55,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_14,415.51,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_15,165.40,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_16,52.44,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_17,778.58,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_18,320.80,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_19,346.94,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_2,60.51,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_20,443.75,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_3,28.24,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_4,4.03,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_5,20.17,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_6,173.47,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_7,302.56,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_8,298.52,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,03/03/2015,46284882_9,4.03,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_1,58.13,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_10,29.07,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_11,157.78,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_12,49.83,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_13,415.22,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_14,199.32,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_15,45.67,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_16,722.49,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_17,415.22,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_18,415.22,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_19,467.05,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_2,24.91,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_3,4.15,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_4,16.60,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_5,166.09,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_6,290.66,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_7,290.66,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_8,12.46,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,46285149_9,373.70,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,20/01/2015,46284499_1,5000.00,Revenue,20014454,EMMAUS OXFORD (STORE) LIMITED
Oxford City Council,Leisure  Parks & Communities,Instructors & Coaching Fees,D3413,20/01/2015,1012297_1,730.00,Revenue,20014469,ADAM FRENCH
Oxford City Council,Leisure  Parks & Communities,Instructors & Coaching Fees,D3413,27/01/2015,1012628_1,3050.00,Revenue,20014469,ADAM FRENCH
Oxford City Council,Environmental Development,General Contracted Services,D3401,10/02/2015,1012975_1,3500.00,Revenue,20014469,ADAM FRENCH
Oxford City Council,Leisure  Parks & Communities,General Contracted Services,D3401,10/02/2015,1013110_1,890.00,Revenue,20014469,ADAM FRENCH
Oxford City Council,Environmental Development,General Contracted Services,D3401,17/03/2015,1014042_1,2916.67,Revenue,20014469,ADAM FRENCH
Oxford City Council,Leisure  Parks & Communities,General Contracted Services,D3401,17/03/2015,1014106_1,750.00,Revenue,20014469,ADAM FRENCH
Oxford City Council,Leisure  Parks & Communities,Instructors & Coaching Fees,D3413,17/03/2015,1014202_1,3050.00,Revenue,20014469,ADAM FRENCH
Oxford City Council,Leisure  Parks & Communities,General Contracted Services,D3401,24/02/2015,46284858_1,6000.00,Revenue,20014469,ADAM FRENCH
Oxford City Council,Policy  Culture and Communication,General Contracted Services,D3401,03/03/2015,46284909_1,7102.50,Revenue,20014469,ADAM FRENCH
Oxford City Council,Policy  Culture and Communication,General Contracted Services,D3401,03/03/2015,46284916_1,5996.40,Revenue,20014469,ADAM FRENCH
Oxford City Council,HRA,Main Contractor,Y021,20/01/2015,48021104_1,23324.44,Capital,20014479,GSR CONTRACTORS
Oxford City Council,HRA,Main Contractor,Y021,24/02/2015,48021127_1,5751.75,Capital,20014479,GSR CONTRACTORS
Oxford City Council,HRA,Main Contractor,Y021,24/02/2015,48021128_1,5702.55,Capital,20014479,GSR CONTRACTORS
Oxford City Council,HRA,Main Contractor,Y021,10/03/2015,48021136_1,13023.26,Capital,20014479,GSR CONTRACTORS
Oxford City Council,Direct Services,Materials,D3021   ,20/01/2015,60031512_1,701.00,Revenue,20014482,APOLLO TRADE WINDOW STORE
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,24/02/2015,60033507_2,623.99,Revenue,20014482,APOLLO TRADE WINDOW STORE
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,17/02/2015,46284720_1,1650.00,Revenue,20014495,GRANDE PROPERTY SERVICES
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,17/03/2015,46285057_1,675.00,Revenue,20014495,GRANDE PROPERTY SERVICES
Oxford City Council,Leisure  Parks & Communities,General Contracted Services,D3401,13/01/2015,46284404_1,1000.00,Revenue,20014542,OXFORD UNITED YOUTH & COMMUNITY SPORTS TRUST
Oxford City Council,Regeneration and Major Projects Team,Reactive Maintenance & Minor Repairs,B1101,10/03/2015,1013603_1,2090.00,Revenue,20014562,NBC SOUTHVIEW  BIRD & PEST SOLUTIONS LTD
Oxford City Council,Regeneration and Major Projects Team,Reactive Maintenance & Minor Repairs,B1101,13/01/2015,46284326_1,2360.00,Revenue,20014562,NBC SOUTHVIEW  BIRD & PEST SOLUTIONS LTD
Oxford City Council,Regeneration and Major Projects Team,Reactive Maintenance & Minor Repairs,B1101,03/03/2015,46284741_1,1040.00,Revenue,20014562,NBC SOUTHVIEW  BIRD & PEST SOLUTIONS LTD
Oxford City Council,Regeneration and Major Projects Team,Main Contractor,Y021,13/01/2015,48021090_1,3650.00,Capital,20014562,NBC SOUTHVIEW  BIRD & PEST SOLUTIONS LTD
Oxford City Council,Regeneration and Major Projects Team,Miscellaneous Fees,Y173,17/02/2015,1013171_1,3000.00,Capital,20014604,GARDINER & THEOBALD LLP
Oxford City Council,Regeneration and Major Projects Team,Miscellaneous Fees,Y173,17/02/2015,1013202_1,3750.00,Capital,20014604,GARDINER & THEOBALD LLP
Oxford City Council,Regeneration and Major Projects Team,Miscellaneous Fees,Y173,03/03/2015,1013691_1,3000.00,Capital,20014604,GARDINER & THEOBALD LLP
Oxford City Council,Leisure  Parks & Communities,Furniture & Equipment Purchase,D3001,20/01/2015,1012282_1,537.00,Revenue,20014610,OFFICE FURNITURE ONLINE
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,03/02/2015,60032302_1,1756.50,Revenue,20014676,KENNINGTON FLOORING LTD
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,03/02/2015,60032303_0,586.85,Revenue,20014676,KENNINGTON FLOORING LTD
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111,24/03/2015,60035264_2,572.18,Revenue,20014676,KENNINGTON FLOORING LTD
Oxford City Council,HRA,LA Fitnesss,A0926,20/01/2015,46284509_1,5595.59,Revenue,20014707,IHS (GLOBAL) LTD
Oxford City Council,City Development,Cycle Scheme 2008/09,A0965,20/01/2015,46284509_2,4734.00,Revenue,20014707,IHS (GLOBAL) LTD
Oxford City Council,Housing and Property,Cycle Scheme 2008/09,A0965,20/01/2015,46284509_3,3441.62,Revenue,20014707,IHS (GLOBAL) LTD
Oxford City Council,Environmental Development,Cycle Scheme 2008/09,A0965,20/01/2015,46284509_4,7747.19,Revenue,20014707,IHS (GLOBAL) LTD
Oxford City Council,Human Resources & Facilities,Cycle Scheme 2008/09,A0965,20/01/2015,46284509_5,2151.60,Revenue,20014707,IHS (GLOBAL) LTD
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,20/01/2015,46284424_1,800.00,Revenue,20014712,OXFORD INTERNATIONAL WOMENS FESTIVAL
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,13/01/2015,60031282_1,633.60,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,13/01/2015,60031418_1,852.50,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,13/01/2015,60031419_1,1288.00,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,20/01/2015,60031752_1,2356.60,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,20/01/2015,60031753_1,2356.60,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,20/01/2015,60031754_1,1111.00,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,20/01/2015,60031755_1,1738.80,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/02/2015,60032833_1,561.00,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/02/2015,60032843_1,1478.40,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/02/2015,60032847_1,957.00,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/02/2015,60032848_1,1603.80,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/02/2015,60032849_1,1436.60,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,17/02/2015,60033237_1,501.60,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,03/03/2015,60033679_2,536.80,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,03/03/2015,60033702_0,2356.60,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/03/2015,60034327_2,2356.60,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/03/2015,60034328_0,2356.60,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/03/2015,60034329_2,2356.60,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,17/03/2015,60034397_2,2356.60,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,17/03/2015,60034398_0,657.80,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111,24/03/2015,60035162_2,594.00,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111,24/03/2015,60035165_0,501.60,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111,24/03/2015,60035167_0,508.20,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111,24/03/2015,60035173_0,531.30,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111,24/03/2015,60035175_0,775.50,Revenue,20014739,MULTI-FLOORS LIMITED
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111,31/03/2015,60035630_1,2150.00,Revenue,20014748,G P FABRICATIONS
Oxford City Council,Direct Services,Fuel Purchase (Stock),C2003   ,20/01/2015,47978443_0,21986.40,Revenue,20014757,HARVEST ENERGY LIMITED
Oxford City Council,Direct Services,Fuel Purchase (Stock),C2003,03/02/2015,47978645_0,34209.16,Revenue,20014757,HARVEST ENERGY LIMITED
Oxford City Council,Direct Services,Fuel Purchase (Stock),C2003   ,17/02/2015,47978808_0,32038.38,Revenue,20014757,HARVEST ENERGY LIMITED
Oxford City Council,Direct Services,Fuel Purchase (Stock),C2003   ,10/03/2015,47979029_0,8821.64,Revenue,20014757,HARVEST ENERGY LIMITED
Oxford City Council,Direct Services,Fuel Purchase (Stock),C2003   ,10/03/2015,47979102_1,31740.72,Revenue,20014757,HARVEST ENERGY LIMITED
Oxford City Council,Business Improvement & Technology,External Telephone Charges,D3503,10/02/2015,1012725_1,33223.24,Revenue,20014760,BT PAYMENT SERVICES
Oxford City Council,Transformation,Consultants Fees,D3411,20/01/2015,1012293_1,2772.00,Revenue,20014766,Q2 LIMITED
Oxford City Council,Transformation,Consultants Fees,D3411,27/01/2015,1012316_1,1435.50,Revenue,20014766,Q2 LIMITED
Oxford City Council,Transformation,Consultants Fees,D3411,24/03/2015,1014232_1,1386.00,Revenue,20014766,Q2 LIMITED
Oxford City Council,Suspense,Cycle Scheme 2008/09,A0965,17/03/2015,46285011_1,644.16,Revenue,20014779,CYCLESCHEME LIMITED
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,31/03/2015,46285261_1,2000.00,Revenue,20014817,LOW CARBON WEST OXFORD
Oxford City Council,Environmental Development,Main Contractor,Y021,03/03/2015,1013866_1,15920.00,Capital,20014935,COMPUTERISED & DIGITAL SECURITY SYSTEMS LTD
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,13/01/2015,60031295_1,593.45,Revenue,20014940,B S GLASS AND GLAZING LTD
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,17/02/2015,60033151_1,846.33,Revenue,20014940,B S GLASS AND GLAZING LTD
Oxford City Council,HRA,Counsel & External Legal Fees,D3417,10/03/2015,1013974_1,582.00,Revenue,20015005,WITHY KING                                        
Oxford City Council,Housing and Property,Counsel & External Legal Fees,D3417,24/03/2015,46285133_1,15000.00,Revenue,20015005,WITHY KING                                        
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,10/03/2015,60034233_1,1279.29,Revenue,20015037,R & M ELECTRICAL GROUP LTD                        
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,17/02/2015,46284800_1,1000.00,Revenue,20015040,LITTLEMORE VILLAGE HALL                           
Oxford City Council,Customer Services,General Stationery Supplies,D3301,24/02/2015,1013043_1,547.20,Revenue,20015097,HOUND ENVELOPES LTD                               
Oxford City Council,Direct Services,General Contracted Services,D3401,13/01/2015,47978280_2,750.00,Revenue,20015107,DIALOGUE COMMUNICATIONS LTD                       
Oxford City Council,Direct Services,Protective Clothing,D3201,03/03/2015,47979003_0,500.00,Revenue,20015107,DIALOGUE COMMUNICATIONS LTD                       
Oxford City Council,Direct Services,General Contracted Services,D3401,17/03/2015,47979144_0,1500.00,Revenue,20015107,DIALOGUE COMMUNICATIONS LTD                       
Oxford City Council,Business Improvement & Technology,General Contracted Services,D3401,17/03/2015,47979144_1,1500.00,Revenue,20015107,DIALOGUE COMMUNICATIONS LTD                       
Oxford City Council,Direct Services,General Contracted Services,D3401,17/03/2015,47979224_0,1500.00,Revenue,20015107,DIALOGUE COMMUNICATIONS LTD                       
Oxford City Council,Environmental Development,Grants-Private Persons,Y005,17/02/2015,1013322_1,3730.00,Capital,20015140,Redacted personal data
Oxford City Council,Leisure  Parks & Communities,General Contracted Services,D3401,13/01/2015,46284400_1,500.00,Revenue,20015175,OXFORDSHIRE COUNTY COUNCIL                        
Oxford City Council,HRA,Subscriptions,D3703,31/03/2015,1014592_1,7412.00,Revenue,20015194,HOUSING PARTNERS LTD
Oxford City Council,Leisure  Parks & Communities,General Contracted Services,D3401,27/01/2015,1012399_1,55048.25,Revenue,20015211,FUSION LIFESTYLE                                  
Oxford City Council,Leisure  Parks & Communities,Performance Fees,D3412,27/01/2015,1012697_1,47024.68,Revenue,20015211,FUSION LIFESTYLE                                  
Oxford City Council,Leisure  Parks & Communities,Performance Fees,D3412,10/02/2015,1013117_1,80713.21,Revenue,20015211,FUSION LIFESTYLE                                  
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,17/02/2015,1013323_1,3533.20,Revenue,20015211,FUSION LIFESTYLE                                  
Oxford City Council,Leisure  Parks & Communities,Services Maintenance (Planned),B1103,31/03/2015,46285246_1,3075.00,Revenue,20015211,FUSION LIFESTYLE                                  
Oxford City Council,Regeneration and Major Projects Team,Main Contractor,Y021,27/01/2015,48021110_1,1879.00,Capital,20015211,FUSION LIFESTYLE                                  
Oxford City Council,Regeneration and Major Projects Team,Main Contractor,Y021,27/01/2015,48021111_1,1120.00,Capital,20015211,FUSION LIFESTYLE                                  
Oxford City Council,Regeneration and Major Projects Team,Main Contractor,Y021,17/02/2015,48021126_1,6108.30,Capital,20015211,FUSION LIFESTYLE                                  
Oxford City Council,Regeneration and Major Projects Team,Main Contractor,Y021,10/03/2015,48021135_1,793.50,Capital,20015211,FUSION LIFESTYLE                                  
Oxford City Council,Regeneration and Major Projects Team,Main Contractor,Y021,31/03/2015,48021168_1,510.50,Capital,20015211,FUSION LIFESTYLE                                  
Oxford City Council,Regeneration and Major Projects Team,Main Contractor,Y021,31/03/2015,48021169_1,798.72,Capital,20015211,FUSION LIFESTYLE                                  
Oxford City Council,Direct Services,Materials,D3021   ,06/01/2015,60031127_2,1552.12,Revenue,20015230,MERKKO ENTERPRISES LIMITED                        
Oxford City Council,Direct Services,Materials,D3021   ,06/01/2015,60031128_0,11438.00,Revenue,20015230,MERKKO ENTERPRISES LIMITED                        
Oxford City Council,Suspense,Materials,D3021   ,13/01/2015,60031182_0,971.36,Revenue,20015230,MERKKO ENTERPRISES LIMITED                        
Oxford City Council,Direct Services,Materials,D3021   ,20/01/2015,60031618_2,693.80,Revenue,20015230,MERKKO ENTERPRISES LIMITED                        
Oxford City Council,Suspense,Materials,D3021   ,27/01/2015,60032068_1,567.28,Revenue,20015230,MERKKO ENTERPRISES LIMITED                        
Oxford City Council,Direct Services,Tools,D3023   ,27/01/2015,60032150_2,1576.59,Revenue,20015230,MERKKO ENTERPRISES LIMITED                        
Oxford City Council,Direct Services,Materials,D3021   ,17/02/2015,60033006_2,1290.22,Revenue,20015230,MERKKO ENTERPRISES LIMITED                        
Oxford City Council,Direct Services,Materials,D3021   ,17/02/2015,60033111_0,1937.28,Revenue,20015230,MERKKO ENTERPRISES LIMITED                        
Oxford City Council,Suspense,Materials,D3021   ,17/02/2015,60033174_2,1143.04,Revenue,20015230,MERKKO ENTERPRISES LIMITED                        
Oxford City Council,Suspense,Materials,D3021   ,17/02/2015,60033175_0,631.68,Revenue,20015230,MERKKO ENTERPRISES LIMITED                        
Oxford City Council,Direct Services,Materials,D3021   ,17/02/2015,60033188_1,608.84,Revenue,20015230,MERKKO ENTERPRISES LIMITED                        
Oxford City Council,Direct Services,Materials,D3021   ,17/02/2015,60033189_1,2155.12,Revenue,20015230,MERKKO ENTERPRISES LIMITED                        
Oxford City Council,Direct Services,Materials,D3021   ,17/02/2015,60033192_1,1743.16,Revenue,20015230,MERKKO ENTERPRISES LIMITED                        
