Service Area,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Type,Supplier ID,Supplier Name
Direct Services,Direct Services Supplies & Services,D3311,23/05/2017,60073832 - 2,610.89,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,23/05/2017,60073833 - 0,519.66,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,23/05/2017,60073834 - 1,672.02,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073836 - 1,1311.53,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073840 - 0,2848.71,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073846 - 0,3484.6,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073853 - 0,432.69,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073855 - 0,2769.57,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073857 - 0,2400.63,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073859 - 0,1933.85,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073862 - 1,886.59,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073867 - 0,1109.43,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,23/05/2017,60073873 - 1,817.58,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,23/05/2017,60073877 - 1,599.86,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073879 - 1,658.71,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073880 - 1,2870.49,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073881 - 0,1369.37,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073884 - 1,2297.41,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073885 - 1,655.18,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073887 - 1,5720.38,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073889 - 1,511.63,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073891 - 1,783.99,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073892 - 0,1468.71,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,23/05/2017,60073893 - 1,1038.67,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,23/05/2017,60073896 - 1,514.08,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073898 - 1,1528.55,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,23/05/2017,60073899 - 0,435.59,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,23/05/2017,60073902 - 1,607,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Tipping Charges,D3421,23/05/2017,60073904 - 0,740,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,Tipping Charges,D3421,23/05/2017,60073906 - 0,524,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,Tipping Charges,D3421,23/05/2017,60073907 - 1,424.9,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,Tipping Charges,D3421,23/05/2017,60073908 - 0,500,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,Contract Plant Hire,C2402,23/05/2017,60073912 - 1,21000,Revenue,20019480,DAVID EINIG CONTRACTING LTD
Direct Services,General Contracted Services,D3401,23/05/2017,60073913 - 0,83849.8,Revenue,20019480,DAVID EINIG CONTRACTING LTD
Direct Services,Refuse Containers,D3004,23/05/2017,60073914 - 1,3099.6,Revenue,20008146,EGBERT H TAYLOR & CO LTD
Direct Services,General Contracted Services,D3401,23/05/2017,60073917 - 0,3240,Revenue,20000284,GORMAN SURFACING LIMITED
Direct Services,Reactive Maintenance & Minor Repairs,B1101,23/05/2017,60073918 - 1,715,Revenue,20002241,HURLEY INDUSTRIAL CLEANING EQU
Direct Services,Materials,D3021,23/05/2017,60073926 - 1,1986.4,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
Direct Services,Materials,D3021,23/05/2017,60073928 - 1,513.7,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
Direct Services,Materials,D3021,23/05/2017,60073930 - 1,669.5,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
Direct Services,Materials,D3021,23/05/2017,60073932 - 1,811.2,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
Direct Services,Materials,D3021,23/05/2017,60073935 - 0,1922.7,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
Direct Services,Materials,D3021,23/05/2017,60073938 - 1,1366.8,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Materials,D3021,23/05/2017,60073940 - 1,5623.5,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Materials,D3021,23/05/2017,60073941 - 0,2006,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Materials,D3021,23/05/2017,60073942 - 1,13044.5,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Direct Services,Y237,23/05/2017,60073946 - 1,4187.5,Capital,20016884,MICROMAGNETICS LTD
Direct Services,General Contracted Services,D3401,23/05/2017,60073954 - 1,3500,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,23/05/2017,60073956 - 1,1633.86,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,23/05/2017,60073957 - 0,502.95,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,23/05/2017,60073958 - 1,502.95,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,23/05/2017,60073959 - 1,3162.09,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,23/05/2017,60073960 - 0,4287.36,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,23/05/2017,60073961 - 0,1824.92,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,23/05/2017,60073962 - 1,644.8,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,23/05/2017,60073965 - 0,644.8,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,23/05/2017,60073967 - 0,886.6,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Waste Disposal & Skip Hire,D3420,23/05/2017,60073970 - 1,581.16,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,Materials,D3021,23/05/2017,60073978 - 0,639.95,Revenue,20006398,STREET FURNISHING SERVICES
Direct Services,Materials,D3021,23/05/2017,60073984 - 0,675,Revenue,20019298,Woodberry of Leamington Spa
Direct Services,Direct Services Sub Contractors,B1111,23/05/2017,60073985 - 1,600.4,Revenue,20000441,1ST CHOICE SCAFFOLDING (OXFORD) LTD
Direct Services,Direct Services Sub Contractors,B1111,23/05/2017,60073987 - 1,468,Revenue,20000441,1ST CHOICE SCAFFOLDING (OXFORD) LTD
Direct Services,Direct Services Sub Contractors,B1111,23/05/2017,60073989 - 1,530.4,Revenue,20000441,1ST CHOICE SCAFFOLDING (OXFORD) LTD
Direct Services,Direct Services Sub Contractors,B1111,23/05/2017,60074011 - 0,598,Revenue,20014676,KENNINGTON FLOORING LTD
Direct Services,Direct Services Sub Contractors,B1111,23/05/2017,60074014 - 1,1500,Revenue,20019481,JESSOP & COOK ARCHITECTS LTD
Direct Services,Direct Services Sub Contractors,B1111,23/05/2017,60074015 - 0,3943.58,Revenue,20012914,PROELEC INSTALLATIONS LTD
Direct Services,Direct Services Sub Contractors,B1111,23/05/2017,60074016 - 1,3636.5,Revenue,20008696,TOTAL HYGIENE LTD
Direct Services,Direct Services Sub Contractors,B1111,23/05/2017,60074017 - 0,2206.2,Revenue,20011787,WESTLAKE ASPHALT COMPANY LTD
Direct Services,Furniture & Equipment Maintenance & Repairs,D3002,31/05/2017,60074050 - 1,762,Revenue,20012663,DMA  STORAGE  SOLUTIONS  LTD.
Direct Services,Materials,D3021,31/05/2017,60074067 - 0,856.51,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074068 - 1,498.24,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,31/05/2017,60074075 - 0,1329.11,Revenue,20006089,ICI CONTRACT DIRECT
Direct Services,Materials,D3021,31/05/2017,60074090 - 0,662.3,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,31/05/2017,60074094 - 0,2039.52,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,31/05/2017,60074095 - 2,5477.93,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,31/05/2017,60074106 - 1,1150.95,Revenue,20019236,POWRED HEATING COMPONENTS LTD
Direct Services,Tools,D3023,31/05/2017,60074107 - 0,3290,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Direct Services,Materials,D3021,31/05/2017,60074108 - 1,969.4,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Direct Services,Tools,D3023,31/05/2017,60074112 - 0,1651,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Direct Services,Materials,D3021,31/05/2017,60074115 - 2,539,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074116 - 0,660.31,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074117 - 1,660.31,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074118 - 0,660.31,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074119 - 1,602.18,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074120 - 0,563.22,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074121 - 1,591.13,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074122 - 0,593.07,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074123 - 1,620.02,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074126 - 0,644.81,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074127 - 1,805.37,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074128 - 0,584.09,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,31/05/2017,60074129 - 1,513.84,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,31/05/2017,60074132 - 0,1566.11,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,31/05/2017,60074137 - 1,496.56,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Protective Clothing,D3201,31/05/2017,60074141 - 1,693.6,Revenue,20003882,SPALDINGS (UK) LTD
Direct Services,Materials,D3021,31/05/2017,60074142 - 0,532.72,Revenue,20003233,AKW MEDICARE LIMITED
Direct Services,Materials,D3021,31/05/2017,60074144 - 0,1417.5,Revenue,20002299,C BREWER & SONS LTD
Direct Services,Materials,D3021,31/05/2017,60074153 - 1,500.15,Revenue,20009171,CARL F GROUPCO LTD
Direct Services,Materials,D3021,31/05/2017,60074155 - 1,1147.61,Revenue,20017252,CHERWELL PACKAGING LTD
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074156 - 0,28605,Revenue,20019547,DUST POLLUTION SYSTEMS LTD
Direct Services,Materials,D3021,31/05/2017,60074161 - 1,1400.78,Revenue,20005595,EXECUTIVE SECURITY LOCKSMITHS LTD
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074164 - 0,2017.37,Revenue,20008418,HOWDENS JOINERY LTD
Direct Services,Materials,D3021,31/05/2017,60074168 - 0,574.17,Revenue,20006089,ICI CONTRACT DIRECT
Direct Services,Materials,D3021,31/05/2017,60074170 - 0,648.35,Revenue,20006089,ICI CONTRACT DIRECT
Direct Services,Materials,D3021,31/05/2017,60074171 - 1,1404.75,Revenue,20002680,OXFORD SAFETY SUPPLIES
Direct Services,Materials,D3021,31/05/2017,60074172 - 0,1230.5,Revenue,20002680,OXFORD SAFETY SUPPLIES
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074187 - 1,660,Revenue,20006342,JEWSON LTD
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074188 - 0,825,Revenue,20006342,JEWSON LTD
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074189 - 0,660,Revenue,20006342,JEWSON LTD
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074190 - 1,660,Revenue,20006342,JEWSON LTD
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074191 - 0,510.44,Revenue,20006342,JEWSON LTD
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074194 - 1,608.06,Revenue,20015037,R & M ELECTRICAL GROUP LTD
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074196 - 1,1028.76,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074201 - 0,1115.54,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074203 - 0,1068.83,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074205 - 1,1144.21,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,31/05/2017,60074207 - 1,3084.34,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074209 - 1,1100.78,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,31/05/2017,60074211 - 1,6085.86,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Contract Plant Hire,C2402,31/05/2017,60074213 - 1,2479.98,Revenue,20012307,ASHTEAD PLANT HIRE
Direct Services,Tipping Charges,D3421,31/05/2017,60074214 - 0,3931.18,Revenue,20012568,OXFORD RENEWABLE ENERGY LTD T/S AGRIVERT
Direct Services,Materials,D3021,31/05/2017,60074218 - 1,471.89,Revenue,20018811,THE FENCING CENTRE
Direct Services,Materials,D3021,31/05/2017,60074221 - 0,555.66,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,31/05/2017,60074223 - 0,619.36,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,31/05/2017,60074228 - 1,789.36,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
Direct Services,Materials,D3021,31/05/2017,60074229 - 0,1207.44,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
Direct Services,Materials,D3021,31/05/2017,60074235 - 0,795.6,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
Direct Services,Materials,D3021,31/05/2017,60074240 - 1,873.44,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Materials,D3021,31/05/2017,60074242 - 1,832.9,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Materials,D3021,31/05/2017,60074243 - 0,606.92,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Materials,D3021,31/05/2017,60074244 - 1,2696.46,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Materials,D3021,31/05/2017,60074245 - 0,1025.5,Revenue,20002335,OXFORD FENCING SUPPLIES
Direct Services,Temporary Bureau Staffing,A0108,31/05/2017,60074247 - 0,483.6,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/05/2017,60074248 - 1,2662.85,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/05/2017,60074249 - 0,5008.94,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/05/2017,60074250 - 1,2727.99,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/05/2017,60074251 - 0,1435.78,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/05/2017,60074252 - 1,644.8,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/05/2017,60074254 - 0,644.8,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/05/2017,60074272 - 1,1086.9,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/05/2017,60074273 - 0,543.45,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/05/2017,60074274 - 1,1086.9,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/05/2017,60074275 - 0,2294.79,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/05/2017,60074276 - 0,1005.9,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/05/2017,60074277 - 1,2410.44,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/05/2017,60074278 - 0,9192.39,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/05/2017,60074285 - 1,564.2,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/05/2017,60074287 - 1,806,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/05/2017,60074289 - 1,806,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,CAT A Waste,D3619,31/05/2017,60074297 - 1,1979.43,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,CAT A Waste,D3619,31/05/2017,60074298 - 0,2019.39,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,Materials,D3021,31/05/2017,60074299 - 0,686.35,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,Refuse Containers,D3004,31/05/2017,60074305 - 0,2142.36,Revenue,20016111,UK CONTAINER MAINTENANCE LIMITED
Direct Services,Materials,D3021,31/05/2017,60074307 - 0,1350.2,Revenue,20009834,WATCO UK LIMITED
Direct Services,Direct Services,Y237,31/05/2017,60074308 - 1,5956.89,Capital,20008146,EGBERT H TAYLOR & CO LTD
Direct Services,Reactive Maintenance & Minor Repairs,B1101,31/05/2017,60074309 - 0,1160,Revenue,20008181,EXECUTIVE ALARMS LTD
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074314 - 0,418.85,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074321 - 1,591.13,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074322 - 0,625.09,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074323 - 1,656.08,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074324 - 0,661.45,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074325 - 1,525.3,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074326 - 0,580.39,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074327 - 0,598.38,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074330 - 0,492.29,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,31/05/2017,60074331 - 1,582.15,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Repairs & Improvements,B1109,31/05/2017,60074333 - 1,1890,Revenue,20002658,GOOD DIRECTIONS LTD
Direct Services,Waste Disposal & Skip Hire,D3420,31/05/2017,60074335 - 1,648.1,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074336 - 0,862,Revenue,20000441,1ST CHOICE SCAFFOLDING (OXFORD) LTD
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074345 - 1,4772,Revenue,20000210,BARKER & EVANS LTD
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074354 - 0,4200,Revenue,20012692,FREECHOICE GROUP
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074355 - 1,840,Revenue,20000233,JONES & REEVES
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074356 - 0,840,Revenue,20000233,JONES & REEVES
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074357 - 1,840,Revenue,20000233,JONES & REEVES
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074358 - 0,840,Revenue,20000233,JONES & REEVES
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074359 - 1,840,Revenue,20000233,JONES & REEVES
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074360 - 0,420,Revenue,20000233,JONES & REEVES
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074361 - 1,870,Revenue,20000233,JONES & REEVES
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074362 - 0,870,Revenue,20000233,JONES & REEVES
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074366 - 0,430,Revenue,20014739,MULTI-FLOORS LIMITED
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074370 - 0,1608,Revenue,20019079,OXFORD BLUE SCAFFOLDING
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074371 - 1,3120,Revenue,20009112,PRESERVATION SPECIALIST TREATMENTS
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074373 - 1,23366,Revenue,20013974,TOM GHEE CONSTRUCTION
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074374 - 0,1568.57,Revenue,20013974,TOM GHEE CONSTRUCTION
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074375 - 1,1302.25,Revenue,20013974,TOM GHEE CONSTRUCTION
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074376 - 0,1500.85,Revenue,20013974,TOM GHEE CONSTRUCTION
Direct Services,Direct Services Sub Contractors,B1111,31/05/2017,60074398 - 0,1675,Revenue,20008285,"VPS, THE VACANT PROPERTY SPECIALIST"
Direct Services,Materials,D3021,31/05/2017,60074413 - 1,915.94,Revenue,20002299,C BREWER & SONS LTD
Direct Services,Materials,D3021,31/05/2017,60074414 - 0,696.25,Revenue,20017252,CHERWELL PACKAGING LTD
Direct Services,Materials,D3021,31/05/2017,60074420 - 0,1176.4,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,31/05/2017,60074421 - 1,1419.51,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,31/05/2017,60074426 - 0,2642.45,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,31/05/2017,60074427 - 0,1865.25,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,31/05/2017,60074442 - 0,562.94,Revenue,20019236,POWRED HEATING COMPONENTS LTD
Direct Services,Refuse Containers,D3004,31/05/2017,60074449 - 0,2496,Revenue,20007833,GELPACK EXCELSIOR LTD
Direct Services,Refuse Containers,D3004,31/05/2017,60074450 - 1,2214.8,Revenue,20007833,GELPACK EXCELSIOR LTD
Direct Services,Refuse Containers,D3004,31/05/2017,60074451 - 0,3301.6,Revenue,20007833,GELPACK EXCELSIOR LTD
Direct Services,Refuse Containers,D3004,31/05/2017,60074452 - 1,2214.8,Revenue,20007833,GELPACK EXCELSIOR LTD
Direct Services,Refuse Containers,D3004,31/05/2017,60074453 - 0,1532.64,Revenue,20007833,GELPACK EXCELSIOR LTD
Direct Services,Refuse Containers,D3004,31/05/2017,60074454 - 1,1532.64,Revenue,20007833,GELPACK EXCELSIOR LTD
Direct Services,Materials,D3021,06/06/2017,60074456 - 1,1022.62,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,06/06/2017,60074457 - 0,10117.84,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Direct Services Supplies & Services,D3311,06/06/2017,60074467 - 0,607.36,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,06/06/2017,60074475 - 0,1572.51,Revenue,20005720,CAPITOL TILE SUPPLIES LTD
Direct Services,Materials,D3021,06/06/2017,60074476 - 1,4594.83,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,06/06/2017,60074477 - 0,550.88,Revenue,20005720,CAPITOL TILE SUPPLIES LTD
Direct Services,Materials,D3021,06/06/2017,60074479 - 0,1525.91,Revenue,20017252,CHERWELL PACKAGING LTD
Direct Services,Materials,D3021,06/06/2017,60074487 - 0,2071.9,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,06/06/2017,60074489 - 0,4318.51,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,06/06/2017,60074497 - 0,587,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,06/06/2017,60074499 - 0,892.59,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,06/06/2017,60074500 - 1,5626.3,Revenue,20006342,JEWSON LTD
Direct Services,Direct Services Supplies & Services,D3311,06/06/2017,60074501 - 0,503.53,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,06/06/2017,60074502 - 1,710.52,Revenue,20006342,JEWSON LTD
